NAMA SATUAN PENDIDIKAN;BAHASA INDONESIA;BAHASA INGGRIS;MATEMATIKA;FISIKA;KIMIA;BIOLOGI;
SMA TUNAS HARAPAN;66,97;45,79;32,44;30;38,25;47,6;
SMA YADIKA 1;69,13;53,56;32,93;32,78;47,81;44,15;
SMA NEGERI 2;87,65;89,15;78,31;85;85,5;73,26;
SMA NEGERI 17;78,76;59,57;42,8;43,78;50,34;57,3;
SMA NEGERI 19;82,39;81,89;62,19;59,17;69,35;58,31;
SMA BHINNEKA TUNGGAL IKA;71,52;65,28;53,1;43,75;42,5;52,12;
SMA CANDRA NAYA;83;79,13;52,34;54,58;63,33;72,5;
SMA DAMAI;76;70,77;47,12;47,5;39,17;52,78;
SMA DHAMMASAVANA;84,57;80,86;56,07;45;67,5;70,5;
SMA KATOLIK RICCI;81,64;82,68;62,39;63,59;58,93;70,36;
SMA PELITA IV;75,27;71,45;37,05;38,33;46,25;56;
SMA SANTO LEO;79,09;72,73;40,45;45;48,13;53,75;
SMA TRI RATNA;83,1;82,21;61,55;54,79;73,13;64,42;
SMA NEGERI 56;80,96;64,94;43,17;45,2;50,38;55,64;
SMA NEGERI 84;85,28;79,61;63,59;70,56;74,4;72,07;
SMA NEGERI 94;82,09;69,93;45,95;46,29;60;56,35;
SMA NEGERI 95;82,67;71,83;48,42;57,24;54,3;59,56;
SMA SAN MARINO;85,75;87;65,83;69,08;65;69,38;
SMA GALATIA 3;85,33;70;42,92;90;54,5;64,67;
SMA YADIKA 2;72,15;58;36,45;35;47,19;46,97;
SMA FAJRUL ISLAM;65,38;42;32,5;35;36,25;40,42;
SMA NEGERI 33;86,46;83,3;59,1;65;74,76;78,27;
SMA NEGERI 96;81,19;63,48;43,75;55;56,42;58,75;
SMA AL-HUDA;74,17;52,59;33,96;36,63;39,5;48,7;
SMA CENGKARENG I;70,71;49,23;31,83;39,13;47,5;43,49;
SMA HARAPAN JAYA;59,52;44,61;31,21;37,5;30;39,44;
SMA IP YAKIN;66,1;44,61;30,65;38,33;42,5;43,31;
SMA KATOLIK BINTANG KEJORA;81,29;68,94;43,97;55;52,5;57,05;
SMA KRISTEN KALAM KUDUS II;83,74;85,42;59,76;71,25;52,5;61,09;
SMA LAMAHOLOT;68,89;52,67;31,94;38,33;47,5;46,25;
SMA VIANNEY;84,32;85,84;68,4;77,5;64,72;63;
SMA NEGERI 57;82,58;71,87;48,95;50,75;67,05;66,25;
SMA NEGERI 65;88,67;87,52;65,05;74,19;75,25;72,61;
SMA NEGERI 85;82,7;76,87;49,2;55,11;55,83;60,47;
SMA NEGERI 101;80,24;72,16;45,85;45,89;53,81;65,38;
SMA NEGERI 112;84,75;80,93;59,63;70,56;66,12;66,77;
SMA ABDI SISWA;85,14;88,57;74,29;83,57;81;74,44;
SMA AL KAMAL;75,36;61,36;35,6;38,86;44,24;56,41;
SMA BUDI MURNI 2;70;47,07;31,67;34,64;40,33;42,25;
SMAK IPEKA INTEGRATED CHRISTIAN SCHOOL;85,33;94,89;78,06;88,13;75;88,13;
SMA KEMURNIAN II;86,07;89,41;74,54;77,29;86,43;75,31;
SMA KRISTEN 4 PENABUR;86,29;89,31;69,18;77,12;70,33;72,5;
SMA KRISTEN SAMARIA KUDUS;76,75;70;45;61,07;54,38;50,63;
SMA NOTRE DAME;84,82;86,46;63,71;75,13;69,61;69,12;
SMA PELITA II;81,1;87,23;55,81;61,25;72,5;71,75;
SMA SANG TIMUR;82,92;86,85;71,07;82,79;76,46;66,98;
SMA TARSISIUS II;76,58;74,42;48,44;50,56;57,5;57,5;
SMA YADIKA 5;74,04;60,96;37,42;37,5;48,27;52,41;
SMA NEGERI 16;83,39;77,29;50,33;53,26;54,23;73,03;
SMA NEGERI 78;87,24;88,6;73,55;81,8;77,34;79,21;
SMA 1 BARUNAWATI;73,71;55,77;33,04;41,17;52,5;47,04;
SMA MUHAMMADIYAH 15;71,88;57,47;35,48;50;40,47;48,65;
SMA REGINA PACIS;85,66;87,23;67,45;68,53;69,11;68,44;
SMA BAPTIS CENGKARENG INDAH;81,33;64,17;33,75;37,5;48,75;59,29;
SMA KRISTEN ALMASIH;78,57;81,14;55,71;69,3;66,25;55,83;
SMA SANTO LEO II;86,1;83,7;62,13;69,55;81;86,25;
SMA KRISTEN KALAM KUDUS III;82,24;84,59;56,03;74,17;68,33;62,73;
SMA KRISTEN IPEKA TOMANG;85,35;89,39;74,83;81,25;82,27;77,05;
SMA BINA BANGSA;68,35;91,2;60;58,43;51,25;74,17;
SMA SANTO KRISTOFORUS II;81,51;86,49;60,58;68,41;57,69;67,5;
SMA PROVIDENTIA;85,3;84,6;65;78,92;82,73;78,33;
SMA CAHAYA FADILAH;67,5;41,79;30,54;40;45;46,59;
SMA DIAN KASIH;82,91;88,45;61,59;67,73;73,33;71,25;
SMA KRISTEN TIARA KASIH;86;90,83;75;77,36;76,67;68,33;
SMA IMPIAN BUNDA;80,57;82,29;47,86;36,88;52,5;60;
SMA TUNAS MUDA;81,46;91,38;56,35;63,04;47,5;71,82;
SMA DIAN HARAPAN;85,84;91,4;74,39;81,71;81,25;78,9;
SMA MUTIARA BANGSA 3;76,82;81,88;51,62;45;58,44;62,5;
SMA BUKIT SION;81,54;90,51;69,71;69,25;92;72;
SMA SUMPAH PEMUDA;71,25;49,86;35,62;41,11;47,5;47,19;
MA NEGERI 1 JAKARTA;69,05;46,56;31,48;36,25;46,39;42,63;
MA AL HIDAYAH;62,69;45,6;31,91;42,5;38,27;46,42;
MA AL-FALAH;76,21;62,41;39,22;42,5;44,69;50,29;
MA NEGERI 10 JAKARTA;80,76;69,1;52,96;46,88;60;62,5;
MA MANBAUL ULUM ASSHIDDIQIYAH;65,61;48;33,59;36,35;27,5;38,59;
MA ANNIDA AL-ISLAMY;70,24;52,59;32,5;31,25;47,5;48,16;
MA NEGERI 12 JAKARTA;79,31;58,24;42,85;44,25;52,87;59,06;
MA PKU P. TIDUNG;63,43;46,14;31,61;47,57;47,57;49,11;
MA NEGERI 16 JAKARTA;69,3;44,57;32,66;47,5;38,97;40,81;
MA NEGERI 17 JAKARTA;72,58;52,74;34,73;36,02;45,14;51,44;
SMA KRISTEN IPEKA PURI INDAH;85,64;91,76;79,42;86,9;82,24;83,25;
SMA GLOBAL SEVILLA PURI INDAH;78,29;92,57;64,29;42,5;77,09;85,5;
MA NEGERI 22 JAKARTA;71,4;50,9;34,96;37,97;45,36;49,94;
SMA KRISTEN 8 PENABUR;86,71;93,79;81,79;86,72;79,06;82,5;
SMA CINTA KASIH TZU CHI;85,38;85;65,63;73,06;72,5;73,75;
SMA CITRA KASIH;84,21;90,96;84,06;83,18;75;72,05;
SMA PELITA KASIH;83,44;84,11;70,69;68,06;57,5;58,13;
SMA SINAR DHARMA;85;84,56;68,33;79;76;85;
SMA SAINT JOHNS SCHOOL;88,67;93,33;65;72,5;80;72,5;
SMA KATOLIK LIA STEPHANIE;80,63;83,05;58,29;63,13;60;61;
SMA KANAAN GLOBAL SCHOOL;82,92;90,15;74,62;65,94;100;77,5;
SMA NARADA;81,38;92,15;74,42;76,88;78,75;78,57;
SMA BINA KUSUMA MULIA;82,67;87,73;53,17;55,83;71,31;65,56;
SMA SPRINGFIELD;78,55;93,09;76,36;65,83;83,75;78,33;
SMA KRISTEN KASIH KEMULIAAN;84,18;87,82;70,04;65,75;76,25;69,09;
SMA RAFFLES CHRISTIAN SCHOOL KEBUN JERUK;72,4;88,4;49;52,5;68,08;65;
SMA NATIONALHIGH JAKARTA SCHOOL;64;96;52,5;52,5;66,25;66,25;
SMA KRISTEN TUNAS BANGSA JAKARTA BARAT;81,75;95;77,19;94,38;70;65;
SMA KAIROS GRACIA;81,52;93,81;69,17;50,36;73,04;77,5;
SMA KASIH IMMANUEL;72,67;67,67;41,67;57,07;57,07;46,25;
SMA MAKARIOS;80,67;86,67;40,63;55;43;57;
SMA MENTARI GRAND SURYA;87,73;92,8;60,5;85;78,47;70,96;
SMA ISLAM TERPADU ALMAKA;72,73;60,73;35,91;52,94;37,5;43,82;
SMA NEGERI 29;84,18;81,82;51,14;59,69;67,28;60,48;
SMA NEGERI 32;82,44;71,26;47,34;52,67;50;63,29;
SMA NEGERI 47;87,3;86,85;73,78;74,72;75,09;77,9;
SMA NEGERI 74;79,89;71,19;46,71;53,16;52,5;62,46;
SMA NEGERI 108;79,52;63;40,58;46,76;52,69;52,81;
